name,win_probability,risk_fraction,cost_r,activity_probability,loss_persistence,floor,gap_probability_given_loss,gap_loss_r,n_paths,horizon_sessions,passed,breached,unresolved,pass_pct,breach_pct,unresolved_pct,pass_ci_low_pct,pass_ci_high_pct,median_days_if_pass,median_trades,dd95_pct,gross_expectancy_r,daily_intrabar_compliance
Base: independent,0.45,0.005,0.1,0.6,,static,0.0,3.0,20000,60,2073,171,17756,10.365,0.855,88.78,9.9501515853621,10.795071112805315,46.0,35.0,6.705564193429048,0.19999999999999996,NOT ESTIMATED
Loss clustering,0.45,0.005,0.1,0.6,0.75,static,0.0,3.0,20000,60,5178,1761,13061,25.89,8.805,65.305,25.28760236660197,26.5016576120234,37.0,34.0,8.949698795485162,0.19999999999999996,NOT ESTIMATED
Higher cost,0.45,0.005,0.2,0.6,,static,0.0,3.0,20000,60,905,584,18511,4.5249999999999995,2.92,92.55499999999999,4.245565319614067,4.821900359688648,46.0,36.0,7.922545623936061,0.19999999999999996,NOT ESTIMATED
Trailing dollar floor,0.45,0.005,0.1,0.6,,trailing,0.0,3.0,20000,60,2073,364,17563,10.365,1.82,87.815,9.9501515853621,10.795071112805315,46.0,35.0,6.705564193429048,0.19999999999999996,NOT ESTIMATED
Rare 3R loss,0.45,0.005,0.1,0.6,,static,0.02,3.0,20000,60,1914,292,17794,9.569999999999999,1.46,88.97,9.170024906711625,9.985503128784995,46.0,35.0,7.22160741330401,0.19999999999999996,NOT ESTIMATED
Half as many signals,0.45,0.005,0.1,0.3,,static,0.0,3.0,20000,60,270,11,19719,1.35,0.055,98.595,1.1991484057359354,1.5195367025230448,52.0,18.0,4.842486083394315,0.19999999999999996,NOT ESTIMATED
Combined adverse,0.45,0.005,0.2,0.6,0.75,trailing,0.02,3.0,20000,60,3445,5519,11036,17.224999999999998,27.595,55.17999999999999,16.707992440581563,17.754595522896093,38.0,33.0,8.395893009262533,0.19999999999999996,NOT ESTIMATED
